group,source,strain,experiment,BPS,lines,generations
proofreading(-) MMR(-),Niccum_2018,D5_mutL,D5_mutL_1,26406,48,4488
proofreading(-) MMR(-),Niccum_2018,D5_mutL,D5_mutL_2,7326,14,1309
proofreading(-) MMR(-),Niccum_2018,D5_mutL,D5_mutL_3,6817,13,1215
proofreading(-) MMR(+),Niccum_2018,D5_dinB,D5_dinB_1,12505,34,3748
proofreading(-) MMR(+),Niccum_2018,D5_dinB_umuDC,D5_dinB_umuDC_1,8747,21,2126
proofreading(-) MMR(+),Niccum_2018,D5_dinB_umuDC,D5_dinB_umuDC_2,3949,9,911
proofreading(-) MMR(+),Niccum_2018,D5_WT,D5_WT_1,13625,26,3481
proofreading(+) MMR(-),Foster_2018,mutH,mutH_1,10896,37,99960
proofreading(+) MMR(-),Foster_2018,mutL,mutL_2,2709,38,22382
proofreading(+) MMR(-),lee_2012,mutL,mutL_3,1625,34,12750
proofreading(+) MMR(-),Foster_2018,mutL,mutL_1,1350,25,14367
proofreading(+) MMR(-),Foster_2018,mutL_mfd,mutL_mfd_1,2126,32,19554
proofreading(+) MMR(-),Foster_2018,mutL_umuDC_dinB,mutL_umuDC_dinB_1,1110,23,12078
proofreading(+) MMR(-),Foster_2018,mutS,mutS_2,2797,43,21922
proofreading(+) MMR(-),Foster_2018,mutS,mutS_3,2764,41,24148
proofreading(+) MMR(-),Foster_2018,mutS,mutS_1,2410,29,17041
proofreading(+) MMR(-),Long_2016,mutS,mutS_4,969,12,9156
proofreading(+) MMR(-),Tincher_2017,mutS,mutS_5,1273,8,11281
proofreading(+) MMR(-),Foster_2018,mutS_mfd,mutS_mfd_1,3218,45,22942
proofreading(+) MMR(-),Foster_2018,mutS_mutL,mutS_mutL_1,2845,43,25270
proofreading(+) MMR(-),Foster_2018,mutS_mutL_mutH,mutS_mutL_mutH_1,1546,23,14752
proofreading(+) MMR(-),Foster_2018,mutS_mutL_mutH,mutS_mutL_mutH_2,1119,21,12367
proofreading(+) MMR(+),Foster_2015,ada_ogt,ada_ogt_1,250,49,307181
proofreading(+) MMR(+),Foster_2015,alkA_tagA,alkA_tagA_1,265,47,292575
proofreading(+) MMR(+),Foster_2015,nfi,nfi_1,335,47,296476
proofreading(+) MMR(+),Foster_2015,umuDC_dinB,umuDC_dinB_1,269,43,261354
proofreading(+) MMR(+),Foster_2015,umuDC_dinB_polB,umuDC_dinB_polB_1,252,45,279180
proofreading(+) MMR(+),Foster_2015,uvrA,uvrA_1,316,47,298450
proofreading(+) MMR(+),lee_2012,WT,WT_2,140,21,133476
proofreading(+) MMR(+),lee_2012,WT,WT_1,93,38,117040
proofreading(+) MMR(+),Long_2016,WT,WT_4,79,46,77372
proofreading(+) MMR(+),Tincher_2017,WT,WT_3,81,28,67963
